IDDIST;LONGITUD;LATITUD
021015;-76.98233795;-9.466525078
021016;-76.9310379;-9.191220284
021101;-77.91864777;-10.17383385
021102;-77.69180298;-9.985816002
021103;-78.10347748;-9.822618484
021104;-77.74411774;-9.897119522
021105;-77.66499329;-9.921057701
021201;-77.74986267;-9.022516251
021202;-77.91738892;-8.787898064
021203;-77.87688446;-9.030090332
021204;-77.89405823;-8.889663696
021205;-77.89091492;-8.958030701
021206;-77.95705414;-9.143245697
021207;-77.81853485;-9.148694038
021208;-77.72259521;-8.908671379
021209;-77.95220184;-8.846359253
021210;-77.74121857;-8.761932373
021301;-77.3527298;-8.862064362
021302;-77.38826752;-8.823184967
021303;-77.22024536;-8.886070251
021304;-77.27735138;-8.784939766
021305;-77.2901535;-8.909540176
021306;-77.45627594;-8.967464447
021307;-77.44535828;-8.925156593
021308;-77.32482147;-8.893080711
021401;-77.36441803;-10.38064957
021402;-77.33950806;-10.51830006
021403;-77.23984528;-10.3209095
021404;-77.224823;-10.50349617
021405;-77.48704529;-10.6492424
021406;-77.42406464;-10.31936073
021407;-77.2144928;-10.37918377
021408;-77.2279892;-10.4155798
021409;-77.56893158;-10.47472
021410;-77.35882568;-10.44015217
021501;-77.95918274;-8.403827667
021502;-78.06998444;-8.342725754
021503;-77.73072052;-8.258130074
021504;-77.99134064;-8.302706718
021505;-77.94541168;-8.334562302
021506;-77.9061203;-8.265863419
021507;-78.02894592;-8.515604019
021508;-78.00463867;-8.263430595
021509;-77.79885101;-8.13850975
021510;-78.13870239;-8.568470001
021511;-78.05568695;-8.446086884
021601;-77.50645447;-8.790374756
021602;-77.46628571;-8.889684677
021603;-77.3952713;-8.612736702
021604;-77.34350586;-8.702309608
021701;-77.44739532;-9.706467628
021702;-77.31698608;-9.911203384
021703;-77.54080963;-9.937558174
021704;-77.51435852;-10.05771446
021705;-77.5877533;-10.1080761
021706;-77.45437622;-10.07419872
021707;-77.37374115;-10.09414101
021708;-77.65381622;-10.11922359
021709;-77.53991699;-10.00272942
021710;-77.39214325;-9.737812996
021801;-78.40116882;-8.877691269
021802;-78.0764389;-8.960998535
021803;-78.62036896;-9.027774811
021804;-78.12200928;-8.776550293
021805;-78.12390137;-9.163298607
021806;-78.30324554;-9.141489983
021807;-78.44235229;-9.279480934
021808;-78.60936737;-8.992132187
021809;-78.43592072;-9.100053787
021901;-77.61522675;-8.540356636
021902;-77.56086731;-8.300210953
021903;-77.44351959;-8.467728615
021904;-77.65290833;-8.587780952
021905;-77.64601135;-8.362863541
021906;-77.53012848;-8.51213932
021907;-77.50940704;-8.395949364
021908;-77.69595337;-8.454787254
021909;-77.6202774;-8.671630859
021910;-77.52976227;-8.630566597
022001;-77.66642761;-9.093473434
022002;-77.83280182;-9.316109657
022003;-77.64988708;-9.192325592
022004;-77.75852966;-9.177476883
022005;-77.94893646;-9.316861153
022006;-77.69691467;-9.160036087
022007;-77.78927612;-9.344456673
022008;-77.49803162;-9.024127007
030101;-72.87155151;-13.63583279
030102;-72.99111176;-13.99739361
